,sent_id,Word,TAG
0,1,Washington,source
1,1,Post,source
2,1,backs,cue
3,1,Hillary,content
4,1,Clinton,content
5,1,for,content
6,1,president,content
7,1,.,O
8,2,Washington,O
9,2,(,O
10,2,AFP,O
11,2,),O
12,2,--,O
13,2,The,O
14,2,Washington,O
15,2,Post,O
16,2,on,O
17,2,Thursday,O
18,2,became,O
19,2,the,source
20,2,latest,source
21,2,US,source
22,2,newspaper,source
23,2,to,cue
24,2,emphatically,cue
25,2,endorse,cue
26,2,Hillary,content
27,2,Clinton,content
28,2,for,content
29,2,the,content
30,2,White,content
31,2,House,content
32,2,",",O
33,2,saying,cue
34,2,it,content
35,2,was,content
36,2,swayed,content
37,2,as,content
38,2,much,content
39,2,by,content
40,2,her,content
41,2,competence,content
42,2,as,content
43,2,by,content
44,2,the,content
45,2,alarming,content
46,2,specter,content
47,2,of,content
48,2,a,content
49,2,Donald,content
50,2,Trump,content
51,2,presidency,content
52,2,.,O
53,3,``,content
54,3,Hillary,content
55,3,Clinton,content
56,3,has,content
57,3,the,content
58,3,potential,content
59,3,to,content
60,3,be,content
61,3,an,content
62,3,excellent,content
63,3,president,content
64,3,of,content
65,3,the,content
66,3,United,content
67,3,States,content
68,3,",",content
69,3,and,content
70,3,we,content
71,3,endorse,content
72,3,her,content
73,3,without,content
74,3,hesitation,content
75,3,",",content
76,3,'',content
77,3,the,source
78,3,influential,source
79,3,US,source
80,3,daily,source
81,3,wrote,cue
82,3,",",O
83,3,adding,cue
84,3,",",O
85,3,``,content
86,3,no,content
87,3,",",content
88,3,we,content
89,3,are,content
90,3,not,content
91,3,making,content
92,3,this,content
93,3,endorsement,content
94,3,simply,content
95,3,because,content
96,3,Ms,content
97,3,Clinton,content
98,3,'s,content
99,3,chief,content
100,3,opponent,content
101,3,is,content
102,3,dreadful,content
103,3,.,content
104,3,'',content
105,4,Clinton,content
106,4,",",content
107,4,the,content
108,4,Democratic,content
109,4,presidential,content
110,4,nominee,content
111,4,``,content
112,4,is,content
113,4,dogged,content
114,4,",",content
