,sent_id,Word,TAG
0,1,Stealth,O
1,1,Over,O
2,1,Health,O
3,1,:,O
4,1,Hillary,O
5,1,Clinton,O
6,1,Was,O
7,1,Headed,O
8,1,to,O
9,1,ER,O
10,1,But,O
11,1,Diverted,O
12,1,to,O
13,1,Avoid,O
14,1,Bad,O
15,1,Optics,O
16,1,.,O
17,2,The,source
18,2,New,source
19,2,York,source
20,2,Post,source
21,2,reports,cue
22,2,that,content
23,2,Hillary,content
24,2,Clinton,content
25,2,'s,content
26,2,team,content
27,2,avoided,content
28,2,taking,content
29,2,her,content
30,2,to,content
31,2,the,content
32,2,emergency,content
33,2,room,content
34,2,following,content
35,2,her,content
36,2,medical,content
37,2,scare,content
38,2,on,content
39,2,Sunday,content
40,2,in,content
41,2,order,content
42,2,to,content
43,2,``,content
44,2,keep,content
45,2,the,content
46,2,details,content
47,2,of,content
48,2,her,content
49,2,medical,content
50,2,treatment,content
51,2,under,content
52,2,wraps,content
53,2,.,content
54,2,'',content
55,3,Hillary,content
56,3,Clinton,content
57,3,was,content
58,3,headed,content
59,3,to,content
60,3,an,content
61,3,emergency,content
62,3,room,content
63,3,following,content
64,3,her,content
65,3,sudden,content
66,3,collapse,content
67,3,during,content
68,3,the,content
69,3,Sept.,content
70,3,11,content
71,3,memorial,content
72,3,ceremony,content
73,3,--,content
74,3,but,content
75,3,ditched,content
76,3,her,content
77,3,NYPD,content
78,3,escort,content
79,3,and,content
80,3,detoured,content
81,3,to,content
82,3,daughter,content
83,3,Chelsea,content
84,3,Clinton,content
85,3,'s,content
86,3,apartment,content
87,3,to,content
88,3,keep,content
89,3,details,content
90,3,of,content
91,3,her,content
92,3,medical,content
93,3,treatment,content
94,3,under,content
95,3,wraps,content
96,3,",",O
97,3,The,source
98,3,Post,source
99,3,has,cue
100,3,learned,cue
101,3,.,O
102,4,Secret,content
103,4,Service,content
104,4,protocol,content
105,4,called,content
106,4,for,content
107,4,the,content
108,4,Democratic,content
109,4,presidential,content
110,4,nominee,content
111,4,to,content
112,4,be,content
113,4,taken,content
114,4,to,content
115,4,a,content
116,4,state-designated,content
117,4,Level,content
118,4,I,content
119,4,Trauma,content
120,4,Center,content
121,4,in,content
122,4,the,content
123,4,wake,content
124,4,of,content
125,4,her,content
126,4,Sunday,content
127,4,morning,content
128,4,health,content
129,4,crisis,content
130,4,at,content
131,4,Ground,content
132,4,Zero,content
133,4,",",O
134,4,sources,source
135,4,said,cue
136,4,.,O
137,5,But,content
138,5,a,content
139,5,campaign,content
140,5,operative,content
141,5,decided,content
142,5,to,content
143,5,change,content
144,5,course,content
145,5,to,content
146,5,avoid,content
147,5,treatment,content
148,5,by,content
149,5,doctors,content
150,5,",",content
151,5,nurses,content
152,5,or,content
153,5,other,content
154,5,medical,content
155,5,workers,content
156,5,who,content
157,5,could,content
158,5,leak,content
159,5,details,content
160,5,to,content
161,5,reporters,content
162,5,",",O
163,5,a,source
164,5,source,source
165,5,said,cue
166,5,.,O
167,6,Clinton,content
168,6,'s,content
169,6,van,content
170,6,was,content
171,6,supposed,content
172,6,to,content
173,6,be,content
174,6,escorted,content
175,6,by,content
176,6,an,content
177,6,NYPD,content
178,6,protective,content
179,6,detail,content
180,6,",",content
181,6,but,content
182,6,the,content
183,6,Secret,content
184,6,Service,content
185,6,whisked,content
186,6,her,content
187,6,away,content
188,6,from,content
189,6,Ground,content
190,6,Zero,content
191,6,before,content
192,6,cops,content
193,6,could,content
194,6,accompany,content
195,6,her,content
196,6,",",O
197,6,another,source
198,6,source,source
199,6,said,cue
200,6,.,O
201,7,Clinton,content
202,7,had,content
203,7,told,content
204,7,police,content
205,7,officials,content
206,7,that,content
207,7,she,content
208,7,did,content
209,7,n't,content
210,7,want,content
211,7,the,content
212,7,escort,content
213,7,at,content
214,7,all,content
215,7,",",content
216,7,but,content
217,7,the,content
218,7,NYPD,content
219,7,overruled,content
220,7,that,content
221,7,request,content
222,7,",",O
223,7,the,source
224,7,source,source
225,7,added,cue
226,7,.,O
227,8,Read,O
228,8,the,O
229,8,rest,O
230,8,here,O
231,8,.,O
232,9,Pat,source
233,9,Caddell,source
234,9,:,cue
235,9,Democrat,content
236,9,Voters,content
237,9,Worried,content
238,9,About,content
239,9,Hillary,content
240,9,Clinton,content
241,9,'s,content
242,9,Health,content
243,9,Issues,content
244,9,;,content
245,9,It,content
246,9,'s,content
247,9,`,content
248,9,in,content
249,9,Their,content
250,9,Heads,content
251,9,.,content
252,9,',content
253,10,In,O
254,10,offering,O
255,10,analysis,O
256,10,of,O
257,10,the,O
258,10,ongoing,O
259,10,presidential,O
260,10,election,O
261,10,",",O
262,10,longtime,source
263,10,Democratic,source
264,10,pollster,source
265,10,Pat,source
266,10,Caddell,source
267,10,told,cue
268,10,Breitbart,O
269,10,News,O
270,10,Daily,O
271,10,host,O
272,10,Alex,O
273,10,Marlow,O
274,10,on,O
275,10,Thursday,O
276,10,how,content
277,10,surprised,content
278,10,he,content
279,10,is,content
280,10,that,content
281,10,health,content
282,10,has,content
283,10,been,content
284,10,at,content
285,10,the,content
286,10,forefront,content
287,10,.,O
288,11,``,content
289,11,One,content
290,11,of,content
291,11,the,content
292,11,things,content
293,11,I,content
294,11,am,content
295,11,surprised,content
296,11,about,content
297,11,is,content
298,11,apparently,content
299,11,how,content
300,11,much,content
301,11,the,content
302,11,health,content
303,11,issue,content
304,11,has,content
305,11,affected,content
306,11,this,content
307,11,race,content
308,11,",",content
309,11,or,content
310,11,seems,content
311,11,to,content
312,11,be,content
313,11,affecting,content
314,11,it,content
315,11,",",content
316,11,'',content
317,11,said,cue
318,11,Caddell,source
319,11,.,O
320,12,``,content
321,12,Yesterday,content
322,12,",",content
323,12,there,content
324,12,were,content
325,12,two,content
326,12,polls,content
327,12,.,content
328,13,Morning,content
329,13,Consult,content
330,13,and,content
331,13,Rasmussen,content
332,13,had,content
333,13,very,content
334,13,similar,content
335,13,numbers,content
336,13,.,content
337,13,'',content
338,14,Caddell,source
339,14,continued,cue
340,14,:,cue
341,14,``,content
342,14,The,content
343,14,health,content
344,14,issue,content
345,14,overall,content
346,14,is,content
347,14,very,content
348,14,much,content
349,14,a,content
350,14,partisan,content
351,14,issue,content
352,14,",",content
353,14,but,content
354,14,that,content
355,14,does,content
356,14,n't,content
357,14,account,content
358,14,for,content
359,14,almost,content
360,14,the,content
361,14,same,content
362,14,numbers,content
363,14,here,content
364,14,",",content
365,14,which,content
366,14,",",content
367,14,I,content
368,14,'m,content
369,14,going,content
370,14,to,content
371,14,read,content
372,14,you,content
373,14,the,content
374,14,question,content
375,14,:,content
376,14,``,content
377,14,As,content
378,14,you,content
379,14,know,content
380,14,",",content
381,14,Hillary,content
382,14,Clinton,content
383,14,left,content
384,14,an,content
385,14,event,content
386,14,on,content
387,14,September,content
388,14,11th,content
389,14,earlier,content
390,14,than,content
391,14,scheduled,content
392,14,due,content
393,14,to,content
394,14,health,content
395,14,concerns,content
396,14,.,content
397,15,It,content
398,15,was,content
399,15,later,content
400,15,revealed,content
401,15,to,content
402,15,be,content
403,15,pneumonia,content
404,15,.,content
405,16,Do,content
406,16,you,content
407,16,think,content
408,16,Hillary,content
409,16,'s,content
410,16,health,content
411,16,concerns,content
412,16,negatively,content
413,16,impact,content
414,16,her,content
415,16,ability,content
416,16,to,content
417,16,serve,content
418,16,as,content
419,16,President,content
420,16,?,content
421,16,'',content
422,17,Forty-three,content
423,17,",",content
424,17,yes,content
425,17,;,content
426,17,forty-four,content
